title_type,primary_title,genres,runtime_minutes,num_votes,average_rating
short,Magic Dice,"Fantasy,Short",7.0,59,5.3
short,Os Guaranis,"Romance,Short",,18,2.5
short,The Dreyfus Affair,"Biography,Short",,17,4.6
short,The Guerrilla,"Action,Short,War",15.0,30,4.0
short,"St. Kilda, Its People and Birds","Documentary,Short",5.0,29,5.5
short,French Interpreter Policeman,"Documentary,Short",8.0,148,4.5
short,The Planter's Wife,"Action,Drama,Short",14.0,22,4.4
short,Mary Stuart,"Biography,Drama,Short",,11,5.1
movie,"Les heures - Épisode 4: Le soir, la nuit",,,18,5.0
movie,Raffaello Sanzio e la fornarina,,,16,5.0
short,Skilda tiders danser,Short,3.0,11,3.5
short,Bloemenvelden Haarlem,Short,2.0,11,4.3
short,Les transfigurations,Short,6.0,90,6.0
short,The Honor of Thieves,"Crime,Short",11.0,22,5.4
short,Romance of Engine 999,"Drama,Short",,68,6.0
short,Macbeth,"Drama,Short",,16,4.0
short,A Woman of the People,"Drama,Short",,10,3.2
short,The Children's Friend,"Drama,Short",4.0,56,4.1
short,Resurrection,"Drama,Short",12.0,141,5.1
short,Buon anno!,"Comedy,Short",6.0,33,5.2
short,Das große Los,"Comedy,Short",,13,4.5
short,Ben Gets a Duck and Is Ducked,"Comedy,Short",,24,5.6
short,Foolshead's Christmas,"Comedy,Short",5.0,21,5.3
short,The Capricious Monument,"Comedy,Short",7.0,19,4.2
short,The Devilish Tenant,"Comedy,Short",6.0,1885,7.2
short,A Trip to Jupiter,"Sci-Fi,Short",8.0,267,6.4
short,Paper Cock-a-Doodles,"Fantasy,Short",6.0,15,6.2
movie,Orientalsk dans,,,12,4.0
short,L'apprenti aviateur,Short,4.0,16,5.1
short,Fumée d'ivresse,Short,,11,5.0
short,Le portrait ovale,Short,19.0,27,6.5
short,Salomé,Short,12.0,57,5.9
short,Christopher Columbus,"Drama,Short",13.0,22,4.9
short,David et Goliath,"Drama,Short",,31,5.3
short,Idiot,"Drama,Short",15.0,27,7.3
short,A Child's Faith,"Drama,Short",11.0,60,4.0
short,Gounod's Ave Maria,"Drama,Short",8.0,21,4.6
short,The Modern Prodigal,"Drama,Short",17.0,58,5.5
short,The Unchanging Sea,"Drama,Short",14.0,793,6.3
short,Mendelssohn's Spring Song,"Drama,Short",,15,7.3
short,The Beautiful Margaret,"Comedy,Short",6.0,59,5.5
short,Cretinetti troppo bello,"Comedy,Short",5.0,54,5.6
short,The Men Haters' Club,"Comedy,Short",12.0,10,5.2
short,La pile électrique de Léontine,"Comedy,Short",5.0,22,5.6
short,Fâcheuse méprise,"Comedy,Short",,16,5.5
short,Max Has Trouble with His Eyes,"Comedy,Short",5.0,66,5.4
movie,Arsène Lupin contra Sherlock Holmes,"Drama,Mystery",92.0,8,6.4
short,That Chink at Golden Gulch,"Short,Western",17.0,64,6.3
short,Headdresses of Different Periods,"Animation,Short",5.0,51,5.4
short,Ambrosius,"Biography,Short",8.0,16,4.5
short,Den hvide slavehandel,"Crime,Drama,Short",21.0,8,5.4
short,Old Delhi and Its Ruins,"Documentary,Short",,11,6.4
short,Mt. Etna in Eruption,"Documentary,Short",,15,5.7
short,Santa Lucia,"Documentary,Short",5.0,22,5.6
short,Dutch Types,"Documentary,Short",4.0,6,5.2
short,Rusalka,"Drama,Fantasy,Short",9.0,118,5.2
short,White Fawn's Devotion: A Play Acted by a Tribe of Red Indians in America,"Drama,Short,Western",11.0,501,5.7
short,Twelfth Night,"Comedy,Drama,Romance",12.0,269,5.4
movie,Chûshingura,,47.0,7,5.8
movie,It Is Never Too Late to Mend,Drama,,15,3.7
movie,Oedipus Rex,Drama,56.0,14,5.5
movie,The Bushranger's Bride,Drama,,18,5.4
short,Lecture absorbante,Short,5.0,6,4.6
short,Fisher Folks,"Drama,Short",17.0,38,4.9
short,A Manly Man,"Drama,Short",10.0,22,5.6
short,The Moth,"Drama,Short",26.0,11,7.0
short,La tare,"Drama,Short",41.0,127,5.8
short,Through Darkened Vales,"Drama,Short",17.0,52,4.5
short,Macbeth,"Drama,Short",14.0,6,5.0
short,The Lily of the Tenements,"Drama,Short",17.0,23,5.2
short,David Copperfield,"Drama,Short",39.0,33,5.9
short,Dante's Inferno,"Drama,Short",15.0,55,6.9
short,Bébé joue au cinéma,"Comedy,Short",12.0,13,6.8
short,Non! Tu ne sortiras pas sans moi!,"Comedy,Short",5.0,33,5.6
short,"Little Moritz, reporter photographe","Comedy,Short",8.0,8,4.5
short,Josh's Suicide,"Comedy,Short",,17,6.3
short,The Cowboy Coward,"Short,Western",11.0,25,4.5
short,The Last Drop of Water,"Short,Western",18.0,274,5.8
short,The Life of the Honey Bee,"Documentary,Short",8.0,8,5.3
short,Landscapes in Japan,"Documentary,Short",,8,5.3
short,De vliegdemonstraties op Rozenoord,"Documentary,Short",7.0,15,5.2
short,The Maid's Double,"Comedy,Drama,Short",,14,8.2
short,The Pasha's Daughter,"Drama,Romance,Short",14.0,53,4.9
movie,Harry the Footballer,"Adventure,Crime,Drama",,32,4.3
movie,La ribalta,,,14,4.5
movie,The Adventures of Lieutenant Petrosino,Drama,47.0,36,4.4
movie,The Reincarnation of Karma,Drama,52.0,11,5.0
movie,The Life and Death of King Richard III,Drama,55.0,294,5.7
movie,Lucretia Borgia,Drama,,28,4.9
short,Die Katastrophe der Titanic,Short,7.0,151,5.8
short,Paper Cuttings,Short,,13,6.2
short,A Race for Millions,"Drama,Short",,8,7.0
short,A Man's a Man,"Drama,Short",9.0,9,5.8
short,The Sewer,"Drama,Short",20.0,28,5.6
short,La Bohème,"Drama,Short",,13,5.8
short,Canned Harmony,"Comedy,Short",12.0,253,5.7
short,"Whiffles, Cubic Artist","Comedy,Short",,6,6.8
short,"Mr. Smith, Barber","Comedy,Short",5.0,9,4.0
short,Boireau au harem,"Comedy,Short",,13,4.9
short,Artheme Swallows His Clarinet,"Comedy,Short",4.0,90,6.3
short,The Tourists,"Comedy,Short",6.0,75,5.0
short,Polidor contro la suocera,"Comedy,Short",8.0,10,4.9
short,"Walk, -- You, Walk!","Comedy,Short",15.0,24,4.7
short,A Spanish Dilemma,"Comedy,Short",8.0,41,4.2
short,Conscience,"Horror,Short",10.0,17,4.6
short,Lincoln's Gettysburg Address,"History,Short",,22,8.8
short,An Indian Summer,"Romance,Short",17.0,35,5.0
short,The Mender of Nets,"Romance,Short",16.0,232,6.1
short,The Pony Express Girl,"Short,Western",,13,9.0
short,Theodore Roosevelt,"Documentary,Short",3.0,9,4.4
short,Tripoli,"Documentary,Short",4.0,5,3.8
short,L'inaugurazione del campanile di San Marco,"Documentary,Short",12.0,26,5.4
short,Old Prague,"Documentary,Short",6.0,7,5.8
short,Three-Fingered Kate: The Wedding Presents,"Comedy,Crime,Short",,6,7.5
